dataHora,ordem,linha,latitude,longitude,velocidade
04-27-2015 18:10:58,A29175,472,"-22.868179","-43.29121",0
04-27-2015 18:10:59,A37636,584,"-22.90234","-43.196121",1
04-27-2015 18:11:30,A41339,110,"-22.923466","-43.209743",4.82
04-27-2015 18:11:41,A48175,401,"-22.931395","-43.17926",23.71
04-27-2015 18:13:09,D87829,,"-22.91864","-43.607109",0
04-27-2015 18:13:27,A48112,415,"-22.904638","-43.188881",23.89
04-27-2015 18:13:41,A41069,170,"-22.982687","-43.238541",25
04-27-2015 18:14:00,A72021,422,"-22.921698","-43.246277",43.52
04-27-2015 18:14:34,A48062,426,"-22.910868","-43.269943",0
04-27-2015 18:14:40,A48158,413,"-22.920502","-43.173729",77.6
04-27-2015 18:14:59,B31101,906,"-22.8582","-43.2527",18.52
04-27-2015 18:15:05,A29092,474,"-22.893641","-43.265121",23
04-27-2015 18:15:14,A29037,472,"-22.91082","-43.208111",36
04-27-2015 18:15:41,D53643,786,"-22.851021","-43.385448",42
04-27-2015 18:16:25,A41834,2015,"-22.960093","-43.17588",56.3
04-27-2015 18:16:32,B58006,679,"-22.8379","-43.2851",30
04-27-2015 18:17:00,B63077,920,"-22.8312","-43.3283",17
04-27-2015 18:17:05,A48105,426,"-22.916697","-43.19442",2.04
04-27-2015 18:17:26,A71606,125,"-22.965919","-43.178551",25.19
04-27-2015 18:17:51,A41810,2017,"-22.903551","-43.177933",3.52
04-27-2015 18:18:02,A48001,413,"-22.900431","-43.177719",0.37
04-27-2015 18:18:09,D53916,2310,"-22.85305","-43.39307",40
04-27-2015 18:18:31,A29099,535,"-22.961691","-43.165779",0
04-27-2015 18:18:41,C20216,611,"-22.944059","-43.355881",20
04-27-2015 18:19:20,A48154,415,"-22.978951","-43.190861",1.67
04-27-2015 18:19:29,A41817,2015,"-22.988413","-43.227699",0
04-27-2015 18:20:02,A29155,474,"-22.900249","-43.224449",3
04-27-2015 18:20:18,A71512,416,"-22.932877","-43.174515",22.96
04-27-2015 18:20:45,C20152,337,"-22.90683","-43.197231",0
04-27-2015 18:20:56,A29044,535,"-22.986401","-43.217781",0
04-27-2015 18:21:10,A55012,435,"-22.930401","-43.18623",10
04-27-2015 18:21:44,C20144,880,"-22.95821","-43.351791",0
04-27-2015 18:22:17,A02,001,"-22.910776","-43.270721",0.19
04-27-2015 18:22:19,A72045,010,"-22.900415","-43.181339",0.37
04-27-2015 18:22:48,A41090,190,"-22.874439","-43.241352",0
04-27-2015 18:22:54,A50226,603,"-22.938034","-43.24905",0.56
04-27-2015 18:22:55,A71616,125,"-22.904493","-43.191856",4.07
04-27-2015 18:23:16,D87025,790,"-22.89975","-43.554668",0
04-27-2015 18:23:39,A48127,539,"-22.986774","-43.219559",43.89
04-27-2015 18:23:44,A50018,229,"-22.910885","-43.192749",3.52
04-27-2015 18:23:48,A48029,426,"-22.946243","-43.256794",0
04-27-2015 18:23:49,A48165,426,"-22.941858","-43.18227",34.08
04-27-2015 18:23:54,A41812,,"-22.986971","-43.221252",43.89
04-27-2015 18:24:00,A06,,"-22.916637","-43.19416",0.19
04-27-2015 18:24:12,A48049,415,"-22.917856","-43.211658",24.63
04-27-2015 18:24:12,A48132,415,"-22.911655","-43.195412",28.71
